Id,Project,SATD comment,On-hold or not
92,Tomcat project,"/**
  * Common interface for component life cycle methods. Catalina components
  * may implement this interface (as well as the appropriate interface(s) for
  * the functionality they support) in order to provide a consistent mechanism
  * to start and stop the component.
  * <br>
  * The valid state transitions for components that support Lifecycle are:
  * <pre>
  * init()
  * NEW ->-- INITIALIZING
  * ||| | --------------------<-----------------------
  * ||| |auto | |
  * ||| | start() | auto auto stop() |
  * ||| INITIALIZED -->-- STARTING_PREP -->- STARTING -->- STARTED -->--- |
  * ||| ^ | | |
  * ||| start() | | | |
  * ||----------->-------------------- | | |
  * || | | |
  * |--- auto auto | | |
  * | | ---------<----- MUST_STOP ---------------------<-- | |
  * | | | | |
  * | | ---------------------------<-------------------------------- ^
  * | | | |
  * | | | auto auto start() |
  * | | STOPPING_PREP ------>----- STOPPING ------>----- STOPPED ---->------
  * | | ^ | | ^
  * | | | auto | | |
  * | | |stop() MUST_DESTROY------<------- | |
  * | | | | | |
  * | | | |auto | |
  * | | | destroy() \|/ destroy() | |
  * | | FAILED ---->------ DESTROYING ---<----------------- |
  * | | ^ | |
  * | | destroy() | |auto |
  * | ----------------------------- \|/ |
  * | DESTROYED |
  * | |
  * | stop() |
  * --->------------------------------>------------------------------
  * 
  * Any state can transition to FAILED.
  * 
  * Calling start() while a component is in states STARTING_PREP, STARTING or
  * STARTED has no effect.
  * 
  * Calling start() while a component is in state NEW will cause init() to be
  * called immediately after the start() method is entered.
  * 
  * Calling stop() while a component is in states STOPPING_PREP, STOPPING or
  * STOPPED has no effect.
  * 
  * Calling stop() while a component is in state NEW transitions the component
  * to STOPPED. This is typically encountered when a component fails to start and
  * does not start all its sub-components. When the component is stopped, it will
  * try to stop all sub-components - even those it didn't start.
  * 
  * MUST_STOP is used to indicate that the {@link #stop()} should be called on
  * the component as soon as {@link #start()} exits. It is typically used when a
  * component has failed to start.
  * 
  * MUST_DESTROY is used to indicate that the {@link #stop()} should be called on
  * the component as soon as {@link #stop()} exits. It is typically used when a
  * component is not designed to be restarted.
  * 
  * Attempting any other transition will throw {@link LifecycleException}.
  * 
  * </pre>
  * The {@link LifecycleEvent}s fired during state changes are defined in the
  * methods that trigger the changed. No {@link LifecycleEvent}s are fired if the
  * attempted transition is not valid.
  * 
  * TODO: Not all components may transition from STOPPED to STARTING_PREP
  *
  * @author Craig R. McClanahan
  * @version $Id$
  */",no
93,Hadoop project,"/**
  * Create a {@link LocalResource} record with all the given parameters.
  * TODO: This should pave way for Builder pattern.
  */",no
94,Tomcat project,"/**
  * Create a new server socket, register the callback. 
  * If port == 0 it'll use the inherited channel, i.e. inetd mode.
  * TODO: if port == -1, detect a free port. May block.
  */",no
95,Hadoop project,"/**
  * Creating snapshots for a directory that is not snapshottable must fail.
  * 
  * TODO: Listing/Deleting snapshots for a directory that is not snapshottable
  * should also fail.
  */",no
96,Tomcat project,"/**
  * Dispatch based on the message type. ( XXX make it more generic,
  * now it's specific to ajp13 ).
  * 
  * @author Costin Manolache
  */",no
97,Tomcat project,"/**
  * Example config: 
  * 
  * www stream tcp wait USER PATH_TO_tomcatInetd.sh
  * 
  * For a different port, you need to add it to /etc/services.
  * 
  * 'wait' is critical - the common use of inetd is 'nowait' for 
  * tcp services, which doesn't make sense for java ( too slow startup
  * time ). It may make sense in future with something like android VM.
  * 
  * In 'wait' mode, inetd will pass the acceptor socket to java - so
  * you can listen on port 80 and run as regular user with no special
  * code and magic.
  * If tomcat dies, inetd will get back the acceptor and on next connection
  * restart tomcat. 
  * 
  * This also works with xinetd. It might work with Apple launchd.
  * 
  * TODO: detect inactivity for N minutes, exist - to free resources. 
  */",no
98,Tomcat project,"/**
  * Extends {@link AjpMessage} to provide additional methods for writing to the
  * message.
  * TODO: See if it makes sense for any/all of these methods to be transferred to
  * AjpMessage
  */",no
99,Tomcat project,"/**
  * Filter that attempts to force MS WebDAV clients connecting on port 80 to use
  * a WebDAV client that actually works. Other workarounds that might help
  * include:
  * <ul>
  * <li>Specifying the port, even if it is port 80, when trying to connect.</li>
  * <li>Cancelling the first authentication dialog box and then trying to
  * reconnect.</li>
  * </ul>
  * 
  * Generally each different version of the MS client has a different set of
  * problems.
  * <p>
  * TODO: Update this filter to recognise specific MS clients and apply the
  * appropriate workarounds for that particular client
  * <p> 
  * As a filter, this is configured in web.xml like any other Filter. You usually
  * want to map this filter to whatever your WebDAV servlet is mapped to.
  * <p>
  * In addition to the issues fixed by this Filter, the following issues have
  * also been observed that cannot be fixed by this filter. Where possible the
  * filter will add an message to the logs.
  * <p>
  * XP x64 SP2 (MiniRedir Version 3790
  * <ul>
  * <li>Only connects to port 80</li>
  * <li>Requires an upper case context path</li>
  * <li>Unknown issue means it doesn't work</li>
  * </ul>
  */",no
100,Tomcat project,"/**
  * Filter that attempts to force MS WebDAV clients connecting on port 80 to use
  * a WebDAV client that actually works. Other workarounds that might help
  * include:
  * <ul>
  * <li>Specifying the port, even if it is port 80, when trying to connect.</li>
  * <li>Cancelling the first authentication dialog box and then trying to
  * reconnect.</li>
  * </ul>
  * 
  * Generally each different version of the MS client has a different set of
  * problems.
  * <p>
  * TODO: Update this filter to recognise specific MS clients and apply the
  * appropriate workarounds for that particular client
  * <p> 
  * As a filter, this is configured in web.xml like any other Filter. You usually
  * want to map this filter to whatever your WebDAV servlet is mapped to.
  * <p>
  * In addition to the issues fixed by this Filter, the following issues have
  * also been observed that cannot be fixed by this filter. Where possible the
  * filter will add an message to the logs.
  * <p>
  * XP x64 SP2 (MiniRedir Version 3790)
  * <ul>
  * <li>Only connects to port 80</li>
  * <li>Requires an upper case context path</li>
  * <li>Unknown issue means it doesn't work</li>
  * </ul>
  */",no
101,Tomcat project,"/**
  * Filter that attempts to force MS WebDAV clients connecting on port 80 to use
  * a WebDAV client that actually works. Other workarounds that might help
  * include:
  * <ul>
  * <li>Specifying the port, even if it is port 80, when trying to connect.</li>
  * <li>Cancelling the first authentication dialog box and then trying to
  * reconnect.</li>
  * </ul>
  * 
  * Generally each different version of the MS client has a different set of
  * problems.
  * TODO: Update this filter to recognise specific MS clients and apply the
  * appropriate workarounds for that particular client
  * 
  * As a filter, this is configured in web.xml like any other Filter. You usually
  * want to map this filter to whatever your WebDAV servlet is mapped to.
  */",no
102,Tomcat project,"/**
  * Find the WEB-INF dir by looking up in the directory tree.
  * This is used if no explicit docbase is set, but only files.
  * XXX Maybe we should require the docbase.
  */",no
103,Tomcat project,"/**
  * FIXME
  * ServletContext attribute for class loader. This is tomcat specific. 
  * Other servlet engines can choose to have this attribute if they 
  * want to have this JSP engine running on them. 
  */",no
104,Tomcat project,"/**
  * FIXME
  * ServletContext attribute for classpath. This is tomcat specific. 
  * Other servlet engines may choose to support this attribute if they 
  * want to have this JSP engine running on them. 
  */",no
105,Tomcat project,"/**
  * FIXME: Fooling introspection ...
  */",no
106,Tomcat project,"/**
  * FIXME: Fooling introspection ...
  */",no
107,Camel project,"/**
  * GORA Producer Tests
  *
  * TODO: <b>NOTE:</b> Query methods does not yet has tests
  *
  * @author ipolyzos
  */",no
108,Gerrit project,"/**
  * HTMLPanel to select among patches
  * TODO: Implement this.
  */",no
109,Tomcat project,"/**
  * Implement buffering and character translation acording to the 
  * servlet spec. 
  * 
  * This class handles both chars and bytes.
  * 
  * It is tightly integrated with servlet response, sending headers
  * and updating the commit state.
  * 
  * TODO: add 'extension' interface that allows direct access to 
  * the async connector non-copy non-blocking queue. Same for the 
  * OutputStream. Maybe switch the buffer to the brigade. 
  * 
  * @author Costin Manolache
  */",no
110,Tomcat project,"/**
  * Information about the remote host. Persisting this in memcache or similar 
  * storage can improve performance on future TLS connections by skipping roundtrips
  * and reducing CPU use in handshake.
  * 
  * This class is used in both server and client mode.
  * 
  * AprSocketContextLitener.getPeer(name) can be used to read from an external storage.
  * 
  * TODO: also save the SPDY persistent settings here.
  * TODO: fix tickets, don't seem to work anymore.
  */",no
111,Tomcat project,"/**
  * Initialize using a PEM certificate and key bytes.
  * ( TODO: base64 dep to set the key as PEM )
  * 
  * 
  * Key was generated with 
  * keytool -genkey -alias server -keyalg RSA -storepass changeit
  * keytool -selfcert -storepass changeit -alias server
  * 
  * Then the bytes printed with printPrivateKey()
  * 
  * I found no way to generate the self-signed keys from jsse 
  * except CLI. 
  * 
  */",no
112,Tomcat project,"/**
  * Load sessions from other cluster node.
  * FIXME replace currently sessions with same id without notifcation.
  * FIXME SSO handling is not really correct with the session replacement!
  * @exception ClassNotFoundException
  * if a serialized class cannot be found during the reload
  * @exception IOException
  * if an input/output error occurs
  */",no
113,Tomcat project,"/**
  * Load sessions from other cluster node.
  * FIXME replace currently sessions with same id without notification.
  * FIXME SSO handling is not really correct with the session replacement!
  * @exception ClassNotFoundException
  * if a serialized class cannot be found during the reload
  * @exception IOException
  * if an input/output error occurs
  */",no
114,Hadoop project,"/**
  * Lock this on initialClasspath so that there is only one fork in the AM for
  * getting the initial class-path. TODO: This should go away once we construct
  * a parent CLC and use it for all the containers.
  */",yes
115,Hadoop project,"/**
  * Make sure that the number of tasks of type specified by isMap running in
  * the given job is the same as noOfTasksToBeRunning
  * 
  * <p>
  * 
  * TODO: It should eventually use a JobID and then get the information from
  * the JT to check the number of running tasks.
  * 
  * @param jip
  * @param isMap
  * @param noOfTasksToBeRunning
  */",no
116,Gerrit project,"/**
  * Manages paddings for CommentBoxes. Each line that may need to be padded owns
  * a PaddingManager instance, which maintains a padding widget whose height
  * changes as necessary. PaddingManager calculates padding by taking the
  * difference of the sum of CommentBox heights on the two sides.
  *
  * TODO: Let PaddingManager also take care of the paddings introduced by
  * insertions and deletions.
  */",no
117,Tomcat project,"/**
  * Memory-efficient repository for Mime Headers. When the object is recycled, it
  * will keep the allocated headers[] and all the MimeHeaderField - no GC is generated.
  *
  * For input headers it is possible to use the MessageByte for Fileds - so no GC
  * will be generated.
  *
  * The only garbage is generated when using the String for header names/values -
  * this can't be avoided when the servlet calls header methods, but is easy
  * to avoid inside tomcat. The goal is to use _only_ MessageByte-based Fields,
  * and reduce to 0 the memory overhead of tomcat.
  *
  * TODO:
  * XXX one-buffer parsing - for http ( other protocols don't need that )
  * XXX remove unused methods
  * XXX External enumerations, with 0 GC.
  * XXX use HeaderName ID
  * 
  * 
  * @author dac@eng.sun.com
  * @author James Todd [gonzo@eng.sun.com]
  * @author Costin Manolache
  * @author kevin seguin
  */",no
118,Tomcat project,"/**
  * Parse an EL expression string '${...}'
  * 
  * @return An ELNode.Nodes representing the EL expression TODO: Currently
  * only parsed into functions and text strings. This should be
  * rewritten for a full parser.
  */",no
119,Tomcat project,"/**
  * Parse an EL expression string '${...}'. Currently only separates the EL
  * into functions and everything else.
  * 
  * @return An ELNode.Nodes representing the EL expression
  * 
  * TODO: Can this be refactored to use the standard EL implementation?
  */",no
120,Tomcat project,"/**
  * Parse session id in URL. Done in request for performance.
  * TODO: should be done in manager
  */",no
121,Tomcat project,"/**
  * Parse session id in URL. Done in request for performance.
  * TODO: should be done in manager
  */",no
122,Tomcat project,"/**
  * process filter annotation and merge with existing one!
  * FIXME: refactoring method too long and has redundant subroutines with
  * processAnnotationWebServlet!
  * @param className
  * @param ae
  * @param fragment
  */",no
123,Tomcat project,"/**
  * Provide default configuration for a context. This is the programmatic
  * equivalent of the default web.xml. 
  * 
  * TODO: in normal tomcat, if default-web.xml is not found, use this 
  * method
  */",no
124,Tomcat project,"/**
  * Read a web.xml file and generate the mappings for jk2.
  * It can be used from the command line or ant.
  * 
  * In order for the web server to serve static pages, all webapps
  * must be deployed on the computer that runs Apache, IIS, etc.
  *
  * Dynamic pages can be executed on that computer or other servers
  * in a pool, but even if the main server doesn't run tomcat,
  * it must have all the static files and WEB-INF/web.xml.
  * ( you could have a script remove everything else, including jsps - if
  * security paranoia is present ).
  *
  * XXX We could have this in WEB-INF/urimap.properties.
  *
  * @author Costin Manolache
  */",no
125,Tomcat project,"/**
  * Receives notification that there is data to be read on the upgraded
  * connection and processes it.
  *
  * TODO: Move this to a more appropriate package (TBD).
  */",no
126,Tomcat project,"/**
  * Refactored from catalina.connector.InputBuffer. Renamed to avoid conflict
  * with coyote class.
  * 
  * TODO: move to coyote package.
  */",no
127,Tomcat project,"/**
  * Remove the complete queued object list.
  * FIXME extract some method
  */",no
128,Tomcat project,"/**
  * Report a ""bad request"" error for the specified resource. FIXME: We
  * should really be using the error reporting settings for this web
  * application, but currently that code runs at the wrapper level rather
  * than the context level.
  *
  * @param requestURI The request URI for the requested resource
  * @param response The response we are creating
  */",no
129,Tomcat project,"/**
  * Report a ""not found"" error for the specified resource. FIXME: We
  * should really be using the error reporting settings for this web
  * application, but currently that code runs at the wrapper level rather
  * than the context level.
  *
  * @param requestURI The request URI for the requested resource
  * @param response The response we are creating
  */",no
130,Tomcat project,"/**
  * Report a ""not found"" error for the specified resource. FIXME: We
  * should really be using the error reporting settings for this web
  * application, but currently that code runs at the wrapper level rather
  * than the context level.
  *
  * @param response The response we are creating
  */",no
131,Tomcat project,"/**
  * Report an error for the specified resource. FIXME: We
  * should really be using the error reporting settings for this web
  * application, but currently that code runs at the wrapper level rather
  * than the context level.
  *
  * @param response The response we are creating
  */",no
132,Tomcat project,"/**
  * Return the access count.
  * Note: Update is not synced, so the number may not be completely
  * accurate.
  * TODO: Currently unused. Expose via JMX?
  */",no
133,Tomcat project,"/**
  * Return the naming resources associated with this web application.
  * FIXME: Fooling introspection ... 
  */",no
134,Tomcat project,"/**
  * Return the number of cache hits.
  * Note: Update is not synced, so the number may not be completely
  * accurate.
  * TODO: Currently unused. Expose via JMX?
  */",no
135,Tomcat project,"/**
  * Returns the length of the bytes.
  * XXX need to clean this up
  */",no
136,Gerrit project,"/**
  * Sends a REST call to abandon a change and notify a callback. TODO: switch
  * to use the new id triplet (project~branch~change) once that data is
  * available to the UI.
  */",yes
137,Log4j project,"/**
  * Synonym for activateOptions.
  * @deprecated TODO: this weird signature is an attempt to flush
  * out the remaining uses of activate since mixing activate and
  * activateOptions can lead to very bad things.
  */",no
138,Tomcat project,"/**
  * This is a simple class for storing name-value pairs.
  * 
  * TODO: It might be worth moving this to the utils package there is a
  * wider requirement for this functionality.
  */",no
139,Hadoop project,"/**
  * This is the API for the applications comprising of constants that YARN sets
  * up for the applications and the containers.
  * 
  * TODO: Should also be defined in avro/pb IDLs
  * TODO: Investigate the semantics and security of each cross-boundary refs.
  */",no
140,Tomcat project,"/**
  * This listener fixes the port used by JMX/RMI Server making things much
  * simpler if you need to connect jconsole or similar to a remote Tomcat
  * instance that is running behind a firewall. Only the ports are configured via
  * the listener. The remainder of the configuration is via the standard system
  * properties for configuring JMX. Because Tomcat uses a separate MBean server
  * to the platform MBean server, ports for both servers must be configured.
  * TODO: Is there a way to reduce the number of ports and access both servers
  * (and any other MBean servers via a single registry and single
  * connection?
  */",no
141,Tomcat project,"/**
  * This method will be called when the http headers have been received - 
  * the body may or may not be available. 
  * 
  * In server mode this is equivalent with a servlet request. 
  * This is also called for http client, when the response headers
  * are received. 
  * 
  * TODO: rename it to HttMessageReceived or something similar.
  */",no
142,Hadoop project,"/**
  * TODO: Copied for now from TaskAttemptImpl.java ... fixme
  * 
  * TODO: This is currently needed in YarnRunner as user code like setupJob,
  * cleanupJob may need access to dist-cache. Once we separate distcache for
  * maps, reduces, setup etc, this can include only a subset of artificats.
  * This is also needed for uberAM case where we run everything inside AM.
  */",no
143,Camel project,"/**
  * TODO: document me
  */",no
144,Gerrit project,"/**
  * TODO: Due to CodeMirror limitation, there's no way to make the first
  * line disappear completely. The current approach leaves an empty line
  * with line number ""1"" still showing, and CodeMirror doesn't like manually
  * setting the display of a line to ""none"". A workaround may be to use
  * inline widget for the first line and regular line widgets for others.
  */",no
145,Gerrit project,"/**
  * TODO: Handle ordering of line widgets. CodeMirror seems to have a bug when
  * multiple line widgets are added to a line: it puts the first widget above
  * the line when the line is clicked upon.
  */",no
146,Gerrit project,"/**
  * TODO: Maybe remove this after updating CM to HEAD. The latest VIM mode
  * doesn't enter INSERT mode when document is read only.
  */",no
147,Tomcat project,"/**
  * TODO: option to require validation.
  * TODO: remember cert signature. This is needed to support self-signed 
  * certs, like those used by the test. 
  * 
  */",no
148,Gerrit project,"/**
  * TODO: This is not optimal, but shouldn't bee too costly in most cases.
  * Maybe rewrite after done keeping track of diff chunk positions.
  */",yes
149,Hadoop project,"/**
  * TODO: this is still used in a few places where we need to sort out
  * what to do in HA!
  * @return a proxy to the active NN
  */",no
150,Hadoop project,"/**
  * TODO: this test needs to be fleshed out to be an exhaustive failure test
  * @throws Exception
  */",no
151,Gerrit project,"/**
  * TODO: Work on a better way for customizing keybindings and remove
  * temporary navigation hacks.
  */",no
152,Tomcat project,"/**
  * TODO: would a properties resource be better ? Or just parsing
  * /etc/mime.types ?
  * This is needed because we don't use the default web.xml, where this 
  * is encoded.
  */",no
153,Tomcat project,"/**
  * Tomcat needs a directory for temp files. This should be the
  * first method called.
  *
  * By default, if this method is not called, we use:
  * - system properties - catalina.base, catalina.home
  * - $PWD/tomcat.$PORT
  * (/tmp doesn't seem a good choice for security).
  *
  * TODO: disable work dir if not needed ( no jsp, etc ).
  */",no
154,Tomcat project,"/**
  * Tomcat needs a directory for temp files. This should be the 
  * first method called. 
  * 
  * By default, if this method is not called, we use:
  * - system properties - catalina.base, catalina.home 
  * - $HOME/tomcat.$PORT
  * ( /tmp doesn't seem a good choice for security ).
  * 
  *
  * TODO: better default ? Maybe current dir ? 
  * TODO: disable work dir if not needed ( no jsp, etc ).
  */",no
155,Gerrit project,"/**
  * Trying to prevent right click from updating the cursor.
  *
  * TODO: Change to listen on ""contextmenu"" instead. Latest CM has
  * provided a patch that will hopefully make this work.
  */",no
156,Gerrit project,"/**
  * Ugly workaround because CodeMirror never hides lines completely.
  * TODO: Change to use CodeMirror's official workaround after
  * updating the library to latest HEAD.
  */",yes
157,Tomcat project,"/**
  * Unused as of 9.0.x.
  *
  * TODO: Remove this.
  */",no
158,Tomcat project,"/**
  * Used to handle firing lifecycle events.
  * TODO: Consider merging LifecycleSupport into this class.
  */",no
159,Tomcat project,"/**
  * Wait for Acknowledgement from other server
  * FIXME Please, not wait only for three charcters, better control that the wait ack message is correct.
  * @param timeout
  * @throws java.io.IOException
  * @throws java.net.SocketTimeoutException
  */",no
160,Tomcat project,"/**
  * Wait for Acknowledgement from other server.
  * FIXME Please, not wait only for three characters, better control that the wait ack message is correct.
  * @throws java.io.IOException
  * @throws java.net.SocketTimeoutException
  */",no
161,Hadoop project,"/**
  * Wait till noOfTasksToBeRunning number of tasks of type specified by isMap
  * started running. This currently uses a jip object and directly uses its api
  * to determine the number of tasks running.
  * 
  * <p>
  * 
  * TODO: It should eventually use a JobID and then get the information from
  * the JT to check the number of running tasks.
  * 
  * @param jip
  * @param isMap
  * @param noOfTasksToBeRunning
  */",no
162,Hadoop project,"/**
  * Wait till noOfTasksToFinish number of tasks of type specified by isMap
  * are finished. This currently uses a jip object and directly uses its api to
  * determine the number of tasks finished.
  * 
  * <p>
  * 
  * TODO: It should eventually use a JobID and then get the information from
  * the JT to check the number of finished tasks.
  * 
  * @param jip
  * @param isMap
  * @param noOfTasksToFinish
  * @throws InterruptedException
  */",no
163,Tomcat project,"/**
  * XML parsing utilities for processing web application deployment
  * descriptor and tag library descriptor files. FIXME - make these
  * use a separate class loader for the parser to be used.
  *
  * @author Craig R. McClanahan
  * @version $Id$
  */",no
164,Tomcat project,"/**
  * XML parsing utilities for processing web application deployment
  * descriptor and tag library descriptor files. FIXME - make these
  * use a separate class loader for the parser to be used.
  *
  * @author Craig R. McClanahan
  * @version $Revision: 306152 $ $Date: 2005-03-23 22:08:01 -0600 (Wed, 23 Mar 2005) $
  */",no
165,Tomcat project,"/**
  * XML parsing utilities for processing web application deployment
  * descriptor and tag library descriptor files. FIXME - make these
  * use a separate class loader for the parser to be used.
  *
  * @author Craig R. McClanahan
  * @version $Revision$ $Date$
  */",no
166,Tomcat project,"/**
  * XXX Find if the 'className' is the name of the MBean or
  * the real class ( I suppose first )
  * XXX Read (optional) descriptions from a .properties, generated
  * from source
  * XXX Deal with constructors
  *
  */",no
167,Tomcat project,"/**
  * XXX This is a bit silly, but we want to have start and stop time and
  * duration consistent. It would be better to keep start and stop
  * simply in the request and/or response object and remove time
  * (duration) from the interface.
  */",no
168,Tomcat project,"/**
 * Proprietary method to evaluate EL expressions. XXX - This method should
 * go away once the EL interpreter moves out of JSTL and into its own
 * project. For now, this is necessary because the standard machinery is too
 * slow.
 * 
 * @param expression
 * The expression to be evaluated
 * @param expectedType
 * The expected resulting type
 * @param pageContext
 * The page context
 * @param functionMap
 * Maps prefix and name to Method
 * @return The result of the evaluation
 */",yes
169,Tomcat project,"/** 
  * 
  * TODO: only clean our state and sockets we listen on. 
  * 
  */",no
170,Tomcat project,"/** 
  * Accept ( and send ) TCP messages.
  *
  * @author Costin Manolache
  * @author Bill Barker
  * jmx:mbean name=""jk:service=ChannelNioSocket""
  * description=""Accept socket connections""
  * jmx:notification name=""org.apache.coyote.INVOKE
  * jmx:notification-handler name=""org.apache.jk.JK_SEND_PACKET
  * jmx:notification-handler name=""org.apache.jk.JK_RECEIVE_PACKET
  * jmx:notification-handler name=""org.apache.jk.JK_FLUSH
  *
  * Jk can use multiple protocols/transports.
  * Various container adapters should load this object ( as a bean ),
  * set configurations and use it. Note that the connector will handle
  * all incoming protocols - it's not specific to ajp1x. The protocol
  * is abstracted by MsgContext/Message/Channel.
  *
  * A lot of the 'original' behavior is hardcoded - this uses Ajp13 wire protocol,
  * TCP, Ajp14 API etc.
  * As we add other protocols/transports/APIs this will change, the current goal
  * is to get the same level of functionality as in the original jk connector.
  *
  * XXX Make the 'message type' pluggable
  */",no
171,Tomcat project,"/** 
  * Accept ( and send ) TCP messages.
  *
  * @author Costin Manolache
  * @author Bill Barker
  * jmx:mbean name=""jk:service=ChannelNioSocket""
  * description=""Accept socket connections""
  * jmx:notification name=""org.apache.coyote.INVOKE
  * jmx:notification-handler name=""org.apache.jk.JK_SEND_PACKET
  * jmx:notification-handler name=""org.apache.jk.JK_RECEIVE_PACKET
  * jmx:notification-handler name=""org.apache.jk.JK_FLUSH
  *
  * Jk can use multiple protocols/transports.
  * Various container adapters should load this object ( as a bean ),
  * set configurations and use it. Note that the connector will handle
  * all incoming protocols - it's not specific to ajp1x. The protocol
  * is abstracted by MsgContext/Message/Channel.
  *
  * A lot of the 'original' behavior is hardcoded - this uses Ajp13 wire protocol,
  * TCP, Ajp14 API etc.
  * As we add other protocols/transports/APIs this will change, the current goal
  * is to get the same level of functionality as in the original jk connector.
  *
  * XXX Make the 'message type' pluggable
  */",no
172,Tomcat project,"/** 
  * Add a context - programmatic mode, no web.xml used.
  *
  * API calls equivalent with web.xml:
  * 
  * context-param
  * ctx.addParameter(""name"", ""value"");
  * 
  *
  * error-page
  * ErrorPage ep = new ErrorPage();
  * ep.setErrorCode(500);
  * ep.setLocation(""/error.html"");
  * ctx.addErrorPage(ep);
  * 
  * ctx.addMimeMapping(""ext"", ""type"");
  * 
  * Note: If you reload the Context, all your configuration will be lost. If
  * you need reload support, consider using a LifecycleListener to provide
  * your configuration.
  * 
  * TODO: add the rest
  *
  * @param contextPath """" for root context.
  * @param baseDir base dir for the context, for static files. Must exist, 
  * relative to the server home
  */",no
173,Tomcat project,"/** 
  * Add a context - programmatic mode, no web.xml used.
  *
  * API calls equivalent with web.xml:
  * 
  * context-param
  * ctx.addParameter(""name"", ""value"");
  * 
  *
  * error-page
  * ErrorPage ep = new ErrorPage();
  * ep.setErrorCode(500);
  * ep.setLocation(""/error.html"");
  * ctx.addErrorPage(ep);
  * 
  * ctx.addMimeMapping(""ext"", ""type"");
  * 
  * Note: If you reload the Context, all your configuration will be lost. If
  * you need reload support, consider using a LifecycleListener to provide
  * your configuration.
  * 
  * TODO: add the rest
  *
  * @param contextPath ""/"" for root context.
  * @param baseDir base dir for the context, for static files. Must exist, 
  * relative to the server home
  */",no
174,Tomcat project,"/** 
  * Add a context - programmatic mode, no web.xml used.
  *
  * API calls equivalent with web.xml:
  * 
  * context-param
  * ctx.addParameter(""name"", ""value"");
  * 
  *
  * error-page
  * ErrorPage ep = new ErrorPage();
  * ep.setErrorCode(500);
  * ep.setLocation(""/error.html"");
  * ctx.addErrorPage(ep);
  * 
  * ctx.addMimeMapping(""ext"", ""type"");
  * 
  * Note: If you reload the Context, all your configuration will be lost. If
  * you need reload support, consider using a LifecycleListener to provide
  * your configuration.
  * 
  * TODO: add the rest
  *
  * @param contextPath ""/"" for root context.
  * @param baseDir base dir for the context, for static files. Must exist, 
  * relative to the server home
  */",no
175,Tomcat project,"/** 
  * Add a context - programmatic mode, no web.xml used.
  *
  * API calls equivalent with web.xml:
  * 
  * context-param
  * ctx.addParameter(""name"", ""value"");
  * 
  *
  * error-page
  * ErrorPage ep = new ErrorPage();
  * ep.setErrorCode(500);
  * ep.setLocation(""/error.html"");
  * ctx.addErrorPage(ep);
  * 
  * ctx.addMimeMapping(""ext"", ""type"");
  * 
  * Note: If you reload the Context, all your configuration will be lost. If
  * you need reload support, consider using a LifecycleListener to provide
  * your configuration.
  * 
  * TODO: add the rest
  *
  * @param host NULL for the 'default' host
  * @param contextPath ""/"" for root context.
  * @param dir base dir for the context, for static files. Must exist, 
  * relative to the server home
  */",no
176,Tomcat project,"/** 
  * Add a context - programmatic mode, no web.xml used.
  *
  * API calls equivalent with web.xml:
  * 
  * context-param
  * ctx.addParameter(""name"", ""value"");
  * 
  *
  * error-page
  * ErrorPage ep = new ErrorPage();
  * ep.setErrorCode(500);
  * ep.setLocation(""/error.html"");
  * ctx.addErrorPage(ep);
  * 
  * ctx.addMimeMapping(""ext"", ""type"");
  * 
  * TODO: add the rest
  *
  * @param host NULL for the 'default' host
  * @param contextPath ""/"" for root context.
  * @param dir base dir for the context, for static files. Must exist, 
  * relative to the server home
  */",no
177,Tomcat project,"/** 
  * Extracted from Jasper - maps a template file ( foo/my.jsp ) to a classname
  * that is generated by the UserTemplateCompiler.
  * 
  * TODO: transform this to an interface, paired with UserTemplateCompiler.
  * 
  * @author Costin Manolache
  */",no
178,Tomcat project,"/** 
  * Get an empty request/response pair ( response available 
  * as getResponse() ). Optional set input and output buffers.
  * 
  * This can be used for a connector-less interface to tomcat lite.
  * 
  * TODO: make it independent of coyote !
  */",no
179,Tomcat project,"/** 
  * Headers received from the client (content http server).
  * TODO: deal with version missmatches.
  */",no
180,Tomcat project,"/** 
  * TODO: convert to new API
  * 
  */",no
181,Tomcat project,"/** Init default servlets for the context. This should be the programmatic
  * equivalent of the default web.xml. 
  * 
  * TODO: in normal tomcat, if default-web.xml is not found, use this 
  * method
  */",no
182,Tomcat project,"/** Initialize naming - this should only enable java:env and root naming.
  * If tomcat is embedded in an application that already defines those -
  * it shouldn't do it.
  *
  * XXX The 2 should be separated, you may want to enable java: but not
  * the initial context and the reverse
  * XXX Can we ""guess"" - i.e. lookup java: and if something is returned assume
  * false ?
  * XXX We have a major problem with the current setting for java: url
  */",no
183,Tomcat project,"/** Initialize naming - this should only enable java:env and root naming.
  * If tomcat is embeded in an application that already defines those -
  * it shouldn't do it.
  *
  * XXX The 2 should be separated, you may want to enable java: but not
  * the initial context and the reverse
  * XXX Can we ""guess"" - i.e. lookup java: and if something is returned assume
  * false ?
  * XXX We have a major problem with the current setting for java: url
  */",no
184,Tomcat project,"/** Register a tomcat instance
  * XXX make it more flexible
  */",no
185,Tomcat project,"/** Send the packet. XXX This will modify msg !!!
  * We could use 2 packets, or sendAndReceive().
  * 
  */",no
